TailNum	FlightNum	Carrier	FlightDate	hops	Route
N957WN	366	WN	2024-12-01	8	ISP-BWI | BWI-MYR | MYR-BNA | BNA-VPS | VPS-DAL | DAL-LAS | LAS-OAK | OAK-SEA
N7835A	3149	WN	2024-02-18	8	CLE-BNA | BNA-PNS | PNS-HOU | HOU-MCI | MCI-PHX | PHX-BUR | BUR-OAK | OAK-DEN
N429WN	3149	WN	2024-01-28	8	CLE-BNA | BNA-PNS | PNS-HOU | HOU-MCI | MCI-PHX | PHX-BUR | BUR-OAK | OAK-DEN
N228WN	3149	WN	2024-01-21	8	CLE-BNA | BNA-PNS | PNS-HOU | HOU-MCI | MCI-PHX | PHX-BUR | BUR-OAK | OAK-DEN
N569WN	3149	WN	2024-01-14	8	CLE-BNA | BNA-PNS | PNS-HOU | HOU-MCI | MCI-PHX | PHX-BUR | BUR-OAK | OAK-DEN
N7742B	154	WN	2023-04-30	8	ELP-DAL | DAL-LIT | LIT-ATL | ATL-RIC | RIC-MDW | MDW-MCI | MCI-PHX | PHX-SAN
N929WN	154	WN	2023-04-16	8	ELP-DAL | DAL-LIT | LIT-ATL | ATL-RIC | RIC-MDW | MDW-MCI | MCI-PHX | PHX-SAN
N8631A	2787	WN	2022-10-23	8	MSY-ATL | ATL-CMH | CMH-BWI | BWI-RDU | RDU-BNA | BNA-DTW | DTW-MDW | MDW-LAX
N8809L	2787	WN	2022-10-02	8	MSY-ATL | ATL-CMH | CMH-BWI | BWI-RDU | RDU-BNA | BNA-DTW | DTW-MDW | MDW-LAX
N8811L	2787	WN	2022-09-25	8	MSY-ATL | ATL-CMH | CMH-BWI | BWI-RDU | RDU-BNA | BNA-DTW | DTW-MDW | MDW-LAX
